Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Channel Partners,Canada, Paseo , Medium ,"$2,364.62",$8.67,$16.19,"$24,950.00",$54.10,"$26,657.86","$6,863.29","$4,058.77",11/01/2015,3,November,2013
Small Business,France, Carretera , Medium ,"$2,336.31",$7.30,$64.16,"$11,181.61",$56.47,"$57,306.47","$20,683.76","$3,410.19",05/01/2014,10,October,2015
Midmarket,Germany, Velo , Low ,"$2,395.02",$1.89,$54.07,"$45,771.62","$1,602.62","$29,912.82","$9,850.90","$14,892.77",10/01/2013,4,July,2015
Channel Partners,Mexico, Paseo , None ,"$2,431.63",$6.50,$98.54,"$28,598.91",$-,"$37,552.63","$9,356.01","$19,630.68",11/01/2014,11,October,2013
Government,Mexico, Carretera , High ,"$2,433.76",$7.67,$86.36,"$43,819.37","$1,877.89","$29,137.37","$29,408.01","$27,845.97",06/01/2015,10,July,2015
Small Business,France, Velo , Low ,"$2,661.38",$7.04,$57.25,"$56,372.38",$376.86,"$21,975.82","$19,088.65","$15,380.65",09/01/2014,11,August,2014
Enterprise,United States of America, Carretera , High ,"$2,463.67",$7.85,$73.55,"$50,719.92",$-,"$29,838.22","$6,050.12","$28,168.44",10/01/2015,12,November,2015
Midmarket,Mexico, Montana , High ,"$2,199.92",$4.92,$28.03,"$15,452.73","$1,604.38","$22,024.78","$11,284.65","$20,581.16",10/01/2013,6,April,2015
Channel Partners,Germany, Velo , High ,"$2,073.80",$7.10,$46.54,"$33,239.97",$-,"$11,502.81","$17,814.15","$4,662.37",08/01/2013,11,October,2013
Small Business,Germany, Montana , Medium ,"$1,791.44",$5.58,$14.16,"$54,097.58",$-,"$30,307.93","$7,141.69","$8,485.33",11/01/2014,1,July,2015
Government,Germany, Paseo , High ,"$2,122.98",$10.00,$27.73,"$10,545.41","$1,571.58","$42,579.33","$5,506.81","$21,387.54",10/01/2015,3,April,2015
Midmarket,United States of America, Amarilla , None ,"$1,410.89",$2.81,$82.83,"$51,577.19",$-,"$40,029.00","$19,761.86","$25,080.52",02/01/2014,4,October,2013
Midmarket,France, VTT , None ,"$1,322.34",$9.05,$24.10,"$14,564.57",$-,"$18,448.66","$16,008.49","$1,966.18",03/01/2013,11,June,2014
Government,United States of America, Amarilla , High ,"$2,931.07",$6.69,$15.52,"$25,842.25",$442.51,"$49,329.55","$19,826.92","$5,110.53",04/01/2015,10,September,2014
Channel Partners,Mexico, Carretera , High ,"$1,130.20",$7.32,$36.58,"$50,242.94",$-,"$48,448.00","$26,718.81","$1,019.12",02/01/2013,5,February,2015
Channel Partners,Mexico, VTT , None ,$519.98,$1.83,$82.41,"$54,493.24",$-,"$53,264.79","$15,629.65","$1,626.05",10/01/2015,2,July,2013
Midmarket,Mexico, VTT , Medium ,"$1,914.89",$6.57,$18.75,"$59,075.01","$2,505.78","$15,075.64","$22,702.03","$28,508.43",10/01/2013,2,July,2015
Channel Partners,Canada, Carretera , Medium ,"$1,562.07",$4.16,$83.26,"$26,937.19",$-,"$22,252.48","$9,522.44","$9,221.32",04/01/2014,12,July,2013
Channel Partners,Mexico, Paseo , Low ,"$1,522.39",$5.72,$25.25,"$51,798.45",$-,"$45,683.91","$16,067.44","$5,716.18",09/01/2015,1,September,2014
Channel Partners,France, Velo , Low ,"$1,937.36",$3.54,$18.43,"$58,982.24","$4,181.80","$41,514.68","$7,238.59","$21,115.73",12/01/2013,9,January,2015
Government,United States of America, VTT , None ,$578.56,$9.61,$91.64,"$13,229.95",$-,"$56,727.58","$20,716.66","$5,627.09",12/01/2013,11,December,2015
Channel Partners,Mexico, VTT , Medium ,"$1,873.40",$8.68,$70.11,"$29,527.49",$-,"$30,051.76","$15,485.92","$5,652.73",04/01/2013,1,December,2013
Small Business,Canada, Amarilla , Medium ,$679.31,$7.47,$13.04,"$35,386.30","$4,364.99","$57,108.01","$29,735.82","$14,313.29",04/01/2015,3,July,2014
Small Business,United States of America, Paseo , Low ,"$2,406.87",$8.35,$38.96,"$22,840.80",$524.12,"$42,710.99","$21,987.48","$5,162.13",04/01/2015,1,November,2013
Enterprise,Canada, VTT , High ,"$1,510.53",$5.56,$11.46,"$16,019.35",$-,"$49,056.97","$5,567.40","$9,679.43",01/01/2015,12,February,2014
Midmarket,Germany, Velo , Medium ,"$2,890.04",$3.92,$78.48,"$44,562.65","$4,105.75","$32,339.54","$19,355.20","$20,494.51",02/01/2013,6,December,2014
Government,Germany, Amarilla , Low ,"$1,176.48",$6.45,$27.06,"$38,496.33",$-,"$47,227.66","$19,834.04","$25,742.32",01/01/2015,2,August,2013
Midmarket,Mexico, VTT , Low ,"$1,745.35",$9.00,$28.17,"$30,739.27",$-,"$40,281.75","$5,149.32","$9,164.89",08/01/2013,12,August,2013
Midmarket,France, Amarilla , Low ,"$1,818.18",$3.07,$85.56,"$40,315.99",$-,"$38,518.35","$8,991.61","$6,383.69",03/01/2013,8,March,2013
Channel Partners,Germany, VTT , Low ,"$2,557.37",$5.17,$48.29,"$14,262.41",$-,"$23,580.80","$12,232.65","$2,693.19",08/01/2013,11,July,2015
Midmarket,Mexico, VTT , Low ,"$1,051.01",$8.29,$82.92,"$31,276.87","$1,717.47","$21,015.47","$14,639.37","$11,112.41",06/01/2014,5,February,2014
Government,France, Montana , High ,$806.57,$3.01,$61.46,"$41,363.83",$-,"$12,351.54","$23,524.60","$8,836.40",01/01/2014,1,September,2013
Channel Partners,France, Paseo , None ,"$2,349.47",$4.49,$37.48,"$38,373.33",$-,"$36,447.50","$29,753.34","$24,347.23",03/01/2014,7,February,2014
Midmarket,Canada, Montana , None ,"$1,583.53",$7.59,$98.88,"$50,095.47",$-,"$25,648.42","$23,973.97","$11,272.99",04/01/2015,10,September,2013
Channel Partners,Canada, Montana , Medium ,"$1,869.40",$3.42,$36.17,"$30,146.03",$-,"$11,518.21","$25,836.23","$3,573.96",04/01/2014,7,March,2013
Channel Partners,Germany, VTT , Medium ,"$1,412.37",$9.13,$56.81,"$24,633.78",$-,"$47,397.42","$28,937.21","$2,864.58",09/01/2015,6,November,2013
Government,Germany, Paseo , None ,"$2,008.97",$3.87,$72.51,"$15,354.71",$-,"$56,654.74","$16,468.51","$19,988.78",06/01/2013,9,September,2013
Government,France, Paseo , Medium ,"$1,897.92",$8.01,$45.30,"$58,268.57",$-,"$58,548.86","$21,312.32","$9,398.15",01/01/2013,1,March,2013
Channel Partners,United States of America, Montana , Low ,"$1,626.72",$8.38,$91.03,"$55,762.22","$2,873.04","$50,544.42","$28,184.22","$9,639.65",12/01/2013,6,May,2013
Enterprise,France, Amarilla , High ,"$1,683.21",$4.52,$23.66,"$50,766.48",$544.31,"$26,840.47","$14,499.69","$13,444.14",08/01/2015,7,May,2015
Channel Partners,Canada, Velo , Low ,"$2,899.10",$1.96,$61.15,"$25,945.97","$4,507.77","$36,172.35","$23,256.57","$6,288.40",12/01/2015,9,November,2013
Midmarket,Mexico, Carretera , Medium ,"$1,915.60",$3.93,$95.10,"$17,541.88",$-,"$14,871.22","$14,931.82","$12,358.10",08/01/2014,7,November,2013
Small Business,Germany, Carretera , None ,"$1,222.78",$4.74,$48.05,"$13,275.26","$3,495.01","$57,469.76","$29,545.94","$19,845.62",10/01/2014,8,November,2015
Enterprise,France, Velo , Low ,"$2,604.35",$8.30,$54.33,"$58,641.01",$-,"$28,685.36","$12,686.34","$15,711.62",06/01/2014,3,February,2014
Enterprise,France, Montana , Low ,"$2,129.72",$5.48,$84.80,"$47,286.82",$-,"$37,645.78","$5,545.76","$16,481.59",10/01/2015,1,October,2014
Midmarket,Germany, Amarilla , Medium ,"$2,029.47",$5.92,$88.57,"$24,400.88",$-,"$26,093.46","$18,690.27","$19,742.22",08/01/2015,4,February,2015
Midmarket,Germany, VTT , None ,"$2,793.27",$4.49,$78.34,"$35,208.22",$-,"$54,533.22","$7,945.28","$24,452.18",04/01/2014,11,June,2014
Midmarket,France, Velo , None ,"$1,961.79",$5.76,$28.16,"$28,276.45","$4,880.35","$41,107.28","$10,585.96","$17,853.23",10/01/2013,6,April,2013
Channel Partners,Germany, Carretera , High ,"$1,442.84",$6.50,$12.13,"$17,291.78","$3,741.75","$42,639.65","$24,745.98","$11,795.14",08/01/2013,8,October,2013
Channel Partners,Mexico, Paseo , Medium ,"$1,128.26",$2.15,$61.93,"$30,893.84",$-,"$45,791.94","$9,035.42","$16,316.88",08/01/2013,11,October,2014
Midmarket,France, Montana , High ,"$2,110.77",$3.35,$43.33,"$58,407.98",$-,"$47,742.97","$27,028.83","$7,752.73",11/01/2014,12,September,2015
Small Business,Germany, Montana , Low ,"$2,070.32",$6.56,$31.45,"$53,682.15",$-,"$37,020.53","$24,785.25","$8,110.44",11/01/2015,4,June,2014
Small Business,Germany, Amarilla , Low ,"$1,210.51",$2.51,$60.01,"$55,690.95",$-,"$40,971.92","$27,115.06","$16,583.68",07/01/2013,11,July,2015
Channel Partners,Canada, VTT , Medium ,"$1,526.56",$9.59,$17.13,"$37,392.87",$-,"$46,735.32","$23,429.45","$29,329.74",08/01/2013,6,September,2014
Government,United States of America, Carretera , High ,"$1,114.61",$9.61,$25.95,"$14,846.07",$-,"$20,796.81","$9,982.29","$22,880.86",06/01/2013,11,October,2015
Government,United States of America, VTT , Medium ,"$2,385.88",$8.73,$48.61,"$38,095.37",$-,"$26,577.40","$17,035.74","$16,530.63",10/01/2014,4,September,2014
Government,United States of America, Velo , Low ,$642.67,$4.22,$20.24,"$47,612.87",$-,"$56,026.93","$9,882.63","$19,012.85",05/01/2014,10,August,2015
Channel Partners,Canada, Paseo , High ,"$1,587.46",$8.58,$62.04,"$35,423.01",$-,"$49,317.83","$7,751.25","$7,244.64",09/01/2014,4,October,2014
Channel Partners,United States of America, Paseo , Medium ,"$1,234.69",$7.09,$95.32,"$18,523.60",$-,"$42,323.51","$9,108.24","$8,304.93",05/01/2014,7,September,2013
Channel Partners,France, Carretera , Medium ,"$1,528.76",$2.24,$75.96,"$44,974.12",$-,"$20,738.07","$12,682.31","$7,198.81",02/01/2014,7,June,2014
Channel Partners,Germany, Paseo , High ,"$2,230.03",$9.59,$45.04,"$33,105.74","$1,798.40","$45,463.20","$15,894.89","$10,500.11",03/01/2015,4,March,2015
Channel Partners,Mexico, Carretera , Medium ,$799.84,$6.77,$10.01,"$12,780.91",$-,"$57,418.89","$28,204.29","$2,695.32",10/01/2014,1,August,2014
Midmarket,Canada, Amarilla , High ,"$2,896.25",$9.09,$59.44,"$34,388.98",$-,"$44,081.23","$20,227.31","$8,873.17",02/01/2013,5,June,2015
Enterprise,United States of America, Carretera , None ,"$2,977.69",$3.99,$36.36,"$25,599.32",$-,"$13,924.13","$19,513.91","$13,804.89",08/01/2014,6,October,2014
Midmarket,France, Montana , High ,"$1,469.48",$5.17,$59.39,"$44,705.21","$1,950.21","$27,769.12","$12,309.40","$15,104.14",08/01/2015,4,March,2014
Channel Partners,Mexico, Paseo , Medium ,$780.25,$6.66,$73.17,"$48,727.93","$3,445.44","$26,723.52","$12,770.08","$8,261.39",03/01/2014,2,July,2014
